,type,quant,frontness,comple,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,dependency,every,front,and,1.453,0.557,0.0,0.698,0.302,0.0,0.226,0.08,0.111
1,dependency,every,front,or,1.431,0.579,0.0,0.686,0.314,0.0,0.222,0.091,0.108
2,dependency,less than 5,front,and,3.405,0.625,0.0,0.828,0.172,0.0,0.394,0.062,0.107
3,dependency,less than 5,front,or,3.382,0.648,0.0,0.813,0.187,0.0,0.386,0.069,0.106
4,dependency,more than 5,front,and,3.462,0.608,0.0,0.829,0.171,0.0,0.433,0.068,0.137
5,dependency,more than 5,front,or,3.433,0.637,0.0,0.812,0.188,0.0,0.424,0.077,0.136
6,dependency,every,back,and,0.531,0.479,0.0,0.529,0.471,0.0,0.204,0.169,0.491
7,dependency,less than 5,back,and,0.573,0.477,0.0,0.54,0.46,0.0,0.341,0.25,1.519
8,dependency,more than 5,back,and,0.699,0.511,0.0,0.556,0.444,0.0,0.368,0.25,1.515
9,dependency,no,back,and,0.59,0.47,0.0,0.548,0.452,0.0,0.227,0.169,0.481
10,dependency,every,back,or,0.51,0.5,0.0,0.509,0.491,0.0,0.208,0.198,0.476
11,dependency,less than 5,back,or,0.551,0.499,0.0,0.518,0.482,0.0,0.353,0.294,1.483
12,dependency,more than 5,back,or,0.673,0.537,0.0,0.535,0.465,0.0,0.383,0.294,1.477
13,dependency,no,back,or,0.568,0.492,0.0,0.527,0.473,0.0,0.228,0.198,0.468
14,dependency,no,front,and,1.461,0.539,0.0,0.708,0.292,0.0,0.239,0.089,0.131
15,dependency,no,front,or,1.439,0.561,0.0,0.693,0.307,0.0,0.237,0.101,0.127
