,type,quant,frontness,comple,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,normal,every,front,and,0.482,0.176,0.146,0.0,0.481,0.519,0.0,0.483,0.517
1,normal,every,front,or,0.471,0.203,0.148,0.0,0.499,0.501,0.0,0.509,0.491
2,normal,less than 5,front,and,1.607,0.244,0.244,0.0,0.471,0.529,0.0,0.496,0.564
3,normal,less than 5,front,or,1.576,0.282,0.249,0.0,0.492,0.508,0.0,0.521,0.539
4,normal,more than 5,front,and,1.598,0.246,0.253,0.0,0.455,0.545,0.0,0.531,0.669
5,normal,more than 5,front,or,1.568,0.283,0.259,0.0,0.477,0.523,0.0,0.562,0.638
6,normal,every,back,and,0.111,0.116,0.177,0.0,0.37,0.63,0.0,0.676,1.374
7,normal,less than 5,back,and,0.11,0.094,0.303,0.0,0.214,0.786,0.0,0.767,3.253
8,normal,more than 5,back,and,0.149,0.099,0.326,0.0,0.211,0.789,0.0,0.753,3.317
9,normal,no,back,and,0.134,0.119,0.186,0.0,0.35,0.65,0.0,0.66,1.41
10,normal,every,back,or,0.11,0.126,0.172,0.0,0.373,0.627,0.0,0.699,1.351
11,normal,less than 5,back,or,0.111,0.102,0.292,0.0,0.219,0.781,0.0,0.792,3.228
12,normal,more than 5,back,or,0.15,0.111,0.315,0.0,0.222,0.778,0.0,0.794,3.276
13,normal,no,back,or,0.132,0.131,0.183,0.0,0.357,0.643,0.0,0.685,1.385
14,normal,no,front,and,0.461,0.174,0.156,0.0,0.472,0.528,0.0,0.484,0.566
15,normal,no,front,or,0.452,0.202,0.157,0.0,0.489,0.511,0.0,0.509,0.541
